fb,tb,from_name,to_name,r_aa,r_ab,r_ac,r_bb,r_bc,r_cc,x_aa,x_ab,x_ac,x_bb,x_bc,x_cc,r_s1s1,r_s1s2,r_s2s2,x_s1s1,x_s1s2,x_s2s2,primary_phase,type,name,status,s_base,v_ln_base,z_base,phases
1,2,sourcebus,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0033568937543126745,0.0,0.0,0.0033568937543126745,0.0,0.0033568937543126745,0.0,0.0,0.0,0.0,0.0,0.0,,reactor,hvmv_sub_hsb,CLOSED,1000000,66395.28095680696,4408.333333333334,abc
2,3,hvmv115_hsb1,hvmv115_hsb2,2.2684310018903586e-10,0.0,0.0,2.2684310018903586e-10,0.0,2.2684310018903586e-10,2.2684310018903586e-10,0.0,0.0,2.2684310018903586e-10,0.0,2.2684310018903586e-10,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv115b1_sw,CLOSED,1000000,66395.28095680696,4408.333333333334,abc
3,4,hvmv115_hsb2,regxfmr_hvmv69sub1_lsb1,0.000536,0.0,0.0,0.000536,0.0,0.000536,0.0028199999999999996,0.0,0.0,0.0028199999999999996,0.0,0.0028199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,,transformer,hvmv115_69sub,CLOSED,1000000,39837.16857408418,1587.0,abc
4,5,regxfmr_hvmv69sub1_lsb1,hvmv69sub1_lsb2,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv69s1b4_sw,CLOSED,1000000,39837.16857408418,1587.0,abc
5,6,hvmv69sub1_lsb2,hvmv69s1s2_1,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,6.30119722747322e-10,0.0,0.0,6.30119722747322e-10,0.0,6.30119722747322e-10,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv69s1b3_sw,CLOSED,1000000,39837.16857408418,1587.0,abc
6,7,hvmv69s1s2_1,hvmv69s1s2_2,0.000165677204012912,5.873217040090938e-05,6.233385757789143e-05,0.00017011986474021212,6.498741987666907e-05,0.00017854958573691875,0.0004738071424360896,0.00020289768654008225,0.00017268796537251135,0.0004627036150321837,0.000187680789743361,0.0004423670291569937,0.0,0.0,0.0,0.0,0.0,0.0,,line,hvmv69s1s2-1,CLOSED,1000000,39837.16857408418,1587.0,abc
7,8,hvmv69s1s2_2,hvmv69s1s2_3,0.000124257903009684,4.4049127800682036e-05,4.6750393183418574e-05,0.0001275898985551591,4.87405649075018e-05,0.00013391218930268906,0.00035535535682706715,0.0001521732649050617,0.00012951597402938349,0.00034702771127413776,0.00014076059230752077,0.00033177527186774525,0.0,0.0,0.0,0.0,0.0,0.0,,line,hvmv69s1s2-2,CLOSED,1000000,39837.16857408418,1587.0,abc
8,9,hvmv69s1s2_3,hvmv69s1s2_4,0.000124257903009684,4.4049127800682036e-05,4.6750393183418574e-05,0.0001275898985551591,4.87405649075018e-05,0.00013391218930268906,0.00035535535682706715,0.0001521732649050617,0.00012951597402938349,0.00034702771127413776,0.00014076059230752077,0.00033177527186774525,0.0,0.0,0.0,0.0,0.0,0.0,,line,hvmv69s1s2-3,CLOSED,1000000,39837.16857408418,1587.0,abc
9,10,hvmv69s1s2_4,hvmv69s1s2_5,0.000331354408025824,0.00011746434080181876,0.00012466771515578286,0.00034023972948042425,0.00012997483975333814,0.0003570991714738375,0.0009476142848721792,0.0004057953730801645,0.0003453759307450227,0.0009254072300643673,0.000375361579486722,0.0008847340583139874,0.0,0.0,0.0,0.0,0.0,0.0,,line,hvmv69s1s2-4,CLOSED,1000000,39837.16857408418,1587.0,abc
10,11,hvmv69s1s2_5,hvmv69s1s2_6,0.000331354408025824,0.00011746434080181876,0.00012466771515578286,0.00034023972948042425,0.00012997483975333814,0.0003570991714738375,0.0009476142848721792,0.0004057953730801645,0.0003453759307450227,0.0009254072300643673,0.000375361579486722,0.0008847340583139874,0.0,0.0,0.0,0.0,0.0,0.0,,line,hvmv69s1s2-5,CLOSED,1000000,39837.16857408418,1587.0,abc
